TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,PLAYERS
Memphis Grizzlies ,2.6,6.3,40.8,0.4,1.6,22.6,0.5,1.3,41.9,2.2,4.7,46.9,0.958,0.44,Xavier Tillman
Memphis Grizzlies ,2.4,6.1,40.0,0.4,2.6,17.4,0.3,0.3,100.0,2.0,3.6,56.3,0.927,0.44,Jaylen Nowell
Memphis Grizzlies ,2.0,6.0,33.3,0.7,3.3,20.0,1.0,1.0,100.0,1.3,2.7,50.0,0.944,0.39,Matt Hurt
Memphis Grizzlies ,2.2,4.0,56.3,0.0,0.0,0.0,0.7,1.5,47.8,2.2,4.0,56.3,1.311,0.56,Bismack Biyombo
Memphis Grizzlies ,1.7,3.9,42.6,1.4,3.3,42.9,0.1,0.1,100.0,0.3,0.6,40.9,1.227,0.61,Jacob Gilyard
Memphis Grizzlies ,2.0,4.2,47.6,0.0,0.0,0.0,0.8,1.0,80.0,2.0,4.2,47.6,1.143,0.48,Trey Jemison C
Memphis Grizzlies ,1.5,3.6,41.4,0.6,2.0,27.9,0.3,0.3,78.6,0.9,1.6,59.1,1.059,0.49,John Konchar
Memphis Grizzlies ,1.5,3.9,37.2,0.5,2.2,20.8,0.3,0.4,75.0,1.0,1.7,57.9,0.930,0.43,Jake LaRavia
Memphis Grizzlies ,0.9,2.5,37.8,0.2,0.7,30.0,0.5,1.0,53.3,0.7,1.8,40.7,1.054,0.42,Kenneth Lofton Jr. F
Memphis Grizzlies ,1.0,3.8,26.7,0.5,2.0,25.0,0.0,0.0,0.0,0.5,1.8,28.6,0.667,0.33,Tosan Evbuomwan
Memphis Grizzlies ,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,50.0,1.000,0.50,Shaquille Harrison
Miami Heat ,6.7,13.4,50.0,1.0,2.3,44.0,7.0,8.1,86.9,5.7,11.1,51.2,1.597,0.54,Jimmy Butler
Miami Heat ,7.9,18.0,43.7,3.3,8.2,40.4,1.9,2.2,83.8,4.5,9.8,46.4,1.163,0.53,Tyler Herro
Miami Heat ,7.6,15.0,50.5,0.0,0.3,9.1,5.0,6.4,78.0,7.6,14.8,51.3,1.346,0.51,Bam Adebayo
Miami Heat ,4.5,10.0,45.0,2.7,6.8,39.7,1.3,1.5,88.7,1.8,3.2,56.1,1.300,0.58,Duncan Robinson
Miami Heat ,5.0,10.0,49.4,1.0,2.9,33.1,2.0,2.5,81.9,4.0,7.1,56.0,1.284,0.54,Jaime Jaquez Jr.
Miami Heat ,4.6,12.8,35.9,1.1,4.7,23.4,2.3,2.4,95.8,3.5,8.1,43.2,0.984,0.40,Terry Rozier SG
Miami Heat ,4.0,8.7,45.5,1.2,3.2,36.8,1.2,1.6,75.4,2.8,5.6,50.5,1.182,0.52,Caleb Martin
Miami Heat ,3.6,8.1,44.4,1.5,4.4,34.7,1.2,1.3,94.4,2.0,3.7,56.1,1.225,0.54,Josh Richardson
Miami Heat ,2.8,6.5,43.1,1.5,4.5,33.5,1.8,2.2,78.7,1.3,2.0,65.1,1.365,0.55,Kevin Love
Miami Heat ,2.8,6.5,42.6,1.7,4.4,38.5,0.9,1.1,83.3,1.1,2.2,50.6,1.252,0.55,Kyle Lowry
Miami Heat ,2.1,4.7,43.9,0.6,1.8,32.0,1.0,1.4,73.7,1.5,2.9,51.2,1.212,0.50,Jamal Cain
Miami Heat ,2.1,4.9,42.7,1.1,2.8,37.0,0.5,0.6,79.2,1.0,2.0,50.6,1.173,0.54,Haywood Highsmith
Miami Heat ,1.9,4.6,40.2,1.0,2.3,42.2,0.6,1.0,55.0,0.9,2.4,38.3,1.130,0.51,Nikola Jovic
Miami Heat ,1.7,3.7,45.5,0.8,1.9,41.2,0.2,0.2,100.0,0.9,1.8,50.0,1.182,0.56,Dru Smith
Miami Heat ,1.8,3.1,57.1,0.0,0.2,0.0,0.7,0.9,81.8,1.8,2.9,60.3,1.377,0.57,Thomas Bryant
Miami Heat ,1.3,2.7,50.8,0.3,0.6,53.8,0.8,1.0,75.0,1.0,2.1,50.0,1.426,0.57,Orlando Robinson
Miami Heat ,1.0,2.3,42.9,0.6,1.7,33.3,0.0,0.0,0.0,0.4,0.7,66.7,1.095,0.55,Cole Swider
Miami Heat ,0.5,1.8,28.6,0.1,1.0,12.5,0.1,0.3,50.0,0.4,0.8,50.0,0.714,0.32,R.J. Hampton
Milwaukee Bucks ,11.5,18.9,60.9,0.5,1.8,25.0,7.3,11.1,65.7,11.0,17.1,64.6,1.628,0.62,Giannis Antetokounmpo
Milwaukee Bucks ,7.4,17.4,42.7,2.9,8.5,34.5,7.1,7.8,92.2,4.5,8.9,50.5,1.431,0.51,Damian Lillard
Milwaukee Bucks ,5.6,11.6,48.7,1.7,4.5,37.8,1.8,2.2,83.2,3.9,7.1,55.6,1.280,0.56,Khris Middleton
Milwaukee Bucks ,5.0,10.1,49.2,1.8,5.1,34.8,1.5,1.8,83.1,3.2,5.1,63.6,1.304,0.58,Brook Lopez
Milwaukee Bucks ,5.0,10.2,49.4,1.2,3.0,38.1,1.3,1.7,78.7,3.9,7.2,54.1,1.229,0.55,Bobby Portis
Milwaukee Bucks ,4.1,8.8,46.9,2.9,6.4,44.6,0.3,0.5,64.0,1.3,2.4,52.9,1.299,0.63,Malik Beasley
Milwaukee Bucks ,2.6,6.0,43.9,1.5,4.0,38.6,0.7,1.1,66.7,1.1,2.0,54.5,1.258,0.57,Jae Crowder
Milwaukee Bucks ,2.1,4.7,45.5,1.1,2.8,39.7,0.8,0.9,84.1,1.0,1.9,53.8,1.311,0.57,Cameron Payne PG
Milwaukee Bucks ,2.0,5.0,40.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,1.200,0.60,Patrick Beverley PG
Milwaukee Bucks ,1.9,4.2,45.7,1.1,3.0,38.6,0.4,0.6,69.0,0.8,1.2,63.2,1.289,0.59,Pat Connaughton
Milwaukee Bucks ,1.8,3.8,47.6,0.7,1.7,38.5,0.4,0.6,66.7,1.1,2.1,55.1,1.238,0.56,MarJon Beauchamp
Milwaukee Bucks ,1.4,3.2,43.8,1.2,2.8,41.8,0.2,0.2,100.0,0.2,0.4,57.1,1.305,0.62,AJ Green
Milwaukee Bucks ,1.0,2.0,53.0,0.3,0.9,36.8,0.2,0.3,72.7,0.7,1.1,66.7,1.325,0.61,Andre Jackson Jr.
Milwaukee Bucks ,0.7,1.7,40.0,0.0,0.7,0.0,0.7,0.7,100.0,0.7,1.0,66.7,1.200,0.40,Lindell Wigginton
Milwaukee Bucks ,0.5,1.0,50.0,0.1,0.1,100.0,0.1,0.1,100.0,0.4,0.9,46.2,1.214,0.54,Chris Livingston
Milwaukee Bucks ,0.4,1.2,36.8,0.1,0.5,25.0,0.1,0.1,100.0,0.3,0.7,45.5,0.947,0.42,Robin Lopez
Milwaukee Bucks ,0.3,1.7,20.0,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.7,0.0,0.600,0.30,TyTy Washington Jr.
Milwaukee Bucks ,0.5,0.9,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,55.6,1.053,0.53,Thanasis Antetokounmpo
Milwaukee Bucks ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00,Marques Bolden
Minnesota Timberwolves ,8.9,19.2,46.5,2.6,6.6,39.3,5.4,6.5,83.4,6.3,12.6,50.3,1.349,0.53,Anthony Edwards
Minnesota Timberwolves ,8.1,15.7,51.6,2.3,5.2,44.2,4.1,4.7,87.1,5.8,10.5,55.2,1.441,0.59,Karl-Anthony Towns
Minnesota Timberwolves ,5.2,7.9,64.9,0.0,0.0,0.0,3.4,5.3,63.9,5.2,7.9,65.3,1.723,0.65,Rudy Gobert
Minnesota Timberwolves ,4.7,9.5,48.8,1.9,4.7,41.4,1.1,1.4,76.0,2.7,4.8,56.0,1.294,0.59,Naz Reid
Minnesota Timberwolves ,4.4,8.7,51.1,1.3,3.4,37.1,0.6,0.8,77.1,3.2,5.3,60.2,1.242,0.58,Jaden McDaniels
Minnesota Timberwolves ,3.6,8.1,44.6,2.4,5.3,44.8,1.1,1.3,91.5,1.3,2.8,44.4,1.325,0.59,Mike Conley
